source,1h,24h,7d
wsj,8,62,259
bbc,8,57,223
nyt,6,74,252
nypost,3,51,80
chitri,1,10,138
wapo,1,7,13
latimes,0,7,145
cbc,0,7,38
startribune,0,5,10
missionlocal,0,2,31
48hills,0,2,10
eltecolote,0,0,0
toi,0,0,0
