score,pubdate,source,title,link
48,2025-07-14-14-48-00 +0000,wsj,"Trump is threatening to ramp up the U.S. trade war with Europe, and costs to move products like cars, pharmaceutical products and airplane parts across the Atlantic are at stake",https://www.wsj.com/economy/trade/european-union-exports-tariffs-explained-64acab19
19,2025-07-13-16-29-05 +0000,bbc,Gaza officials say children killed in strike as Israeli military admits 'error',https://www.bbc.com/news/articles/c0rvxjnvv71o
18,2025-07-14-02-00-00 +0000,wsj,Chinese manufacturers looking to dodge steep U.S. tariffs are pushing across the border to make their goods in Vietnam. This wasn't exactly the desired outcome of Trump's trade war.,https://www.wsj.com/economy/trade/vietnam-china-manufacturing-trump-tariffs-58767ba2
18,2025-07-14-09-30-00 +0000,wsj,"Food banks across the country were already straining under rising demand. Now, they worry many more Americans will go hungry.",https://www.wsj.com/economy/food-banks-are-running-out-of-food-exactly-when-more-americans-will-need-them-b6f4d784
17,2025-07-14-06-08-00 +0000,wsj,"China’s exports grew at a faster clip in June, topping market expectations as trade tensions with the U.S. eased following a round of bilateral talks",https://www.wsj.com/economy/trade/chinas-exports-beat-expectations-in-boost-for-economy-a75f43a5
13,2025-07-14-14-23-56 +0000,nyt,Zelensky Announces Plan for Major Government Shake-Up in Ukraine,https://www.nytimes.com/2025/07/14/world/europe/ukraine-zelensky-government-shakeup.html
12,2025-07-13-16-51-25 +0000,bbc,Buhari - the austere Nigerian military ruler who defeated a sitting president,https://www.bbc.com/news/articles/c89781qxnzdo
12,2025-07-14-09-42-00 +0000,wsj,Higher Tariffs Would Likely Spur ECB to Further Cut Rates,https://www.wsj.com/articles/higher-tariffs-would-likely-spur-ecb-to-further-cut-rates-c050eae2
12,2025-07-13-15-20-08 +0000,bbc,"Texas camp buildings were removed from map showing flood risks, US media reports",https://www.bbc.com/news/articles/ce8zjk5yx8wo
11,2025-07-14-14-31-32 +0000,bbc,Two women killed at Kentucky church as gunman opens fire after shooting officer,https://www.bbc.com/news/articles/cm2l5jn6254o
