score,pubdate,source,title,link
52,2025-07-15-03-45-00 +0000,wsj,"China’s economy showed resilience in a turbulent first half of the year, remaining on track to hit its official growth target for the year despite President Trump’s tariff assault",https://www.wsj.com/world/china/chinas-economy-slows-in-line-with-expectations-1c34e51f
45,2025-07-15-02-08-23 +0000,nyt,How Trump Changed His Tone on Putin and the Russia-Ukraine War,https://www.nytimes.com/2025/07/14/us/politics/trump-putin-ukraine.html
44,2025-07-15-09-38-38 +0000,bbc,'Not our war' - Trump's Nato weapons deal for Ukraine sparks MAGA anger,https://www.bbc.com/news/articles/c14e2ydv4d6o
42,2025-07-15-16-22-56 +0000,bbc,"Trump 'not encouraging killing' by asking Ukraine about Russia strikes, White House says",https://www.bbc.com/news/articles/cvg6zg6kelro
40,2025-07-14-20-35-11 +0000,nyt,Trump Threatens Russia With Sanctions and Vows U.S. Weapon Support for Ukraine,https://www.nytimes.com/2025/07/14/us/politics/trump-putin-russia-ukraine.html
40,2025-07-14-20-05-00 +0000,bbc,Trump weapons pledge marks major step forward for Ukraine,https://www.bbc.com/news/articles/cy4y2rv41pyo
38,2025-07-15-16-45-00 +0000,wsj,JPMorgan CEO Jamie Dimon sounded Wall Street’s clearest warning against the Trump administration’s attacks on Fed Chair Jerome Powell,https://www.wsj.com/economy/central-banking/dimon-defends-fed-independence-after-trump-attacks-6cb6b05f
38,2025-07-15-02-08-31 +0000,nyt,Trump Reluctantly Comes Around to Backing Ukraine. Will He Stick With It?,https://www.nytimes.com/2025/07/14/us/politics/trump-ukraine-biden.html
37,2025-07-15-12-14-19 +0000,nyt,"Trump’s Shift on Ukraine Is Good News for Europe, for Now",https://www.nytimes.com/2025/07/15/world/europe/ukraine-weapons-europe-trump.html
37,2025-07-15-12-30-36 +0000,nyt,"Behind Trump’s Tough Talk on Russia and Putin, Doubts and Missing Details",https://www.nytimes.com/2025/07/14/us/politics/trump-russia-ukraine-nato.html
34,2025-07-15-11-15-55 +0000,nyt,Would Europe Actually Retaliate Against Trump’s Tariffs?,https://www.nytimes.com/2025/07/15/world/europe/eu-tariffs-trump-us-retaliate.html
33,2025-07-15-10-01-45 +0000,bbc,Trump shrugs off giving Parliament speech when he visits UK,https://www.bbc.com/news/articles/cx2g1xexe7qo
32,2025-07-15-10-42-38 +0000,bbc,How Trump woke me up for surprise interview  - and the key takeaways,https://www.bbc.com/news/articles/c5yg7eg8w98o
32,2025-07-15-06-53-36 +0000,bbc,"Listen: 'I trust almost nobody,' Trump says when asked about Putin",https://www.bbc.com/news/videos/cn4lpdyp0nzo
