score,word
7,trump
4,tariff
2,trade
2,tariffs
2,new
2,lot
2,give
2,finals
2,wafcon
2,fled
2,found
2,war
2,lost
1,strikes
1,avoid
1,bid
1,meet
1,asian
1,sidestep
1,seek
1,saved
1,holiday
1,health
1,secretary
1,bma
1,hundreds
1,pounds
1,our
1,summer
1,northern
1,canada
1,peace
1,mideast
1,meant
1,accords
1,abraham
1,partners
1,nations
1,nuclear
1,enjoy
1,families
1,once
1,guarded
1,relics
1,invited
1,immigration
1,day
1,agents
1,cannabis
1,eu
1,mexico
1,operation
1,died
1,proposed
1,criticise
1,young
1,body
1,annual
1,children
1,against
1,outposts
1,parking
1,city
1,panorama
1,child
1,surviving
1,steel
1,large
1,looming
1,inside
1,congolese
1,vital
1,mine
1,mobile
1,phones
1,towns
1,uk
1,bbc
1,rebels
1,morocco
1,rare
1,zambia
1,win
1,reach
1,access
1,quarter
1,everything
1,you
1,need
1,vice
1,president
1,rumored
1,rusting
1,vacation
1,visit
1,resort
1,disney
1,impromptu
1,protest
1,letters
1,sparks
1,latest
1,rates
1,countries
1,affected
1,two
1,palestinians
1,killed
1,see
1,bank
1,clash
1,israeli
1,settlers
1,escalates
1,threats
1,showing
1,little
1,interest
1,deals
1,sows
1,confusion
1,rules
1,global
1,commerce
1,west
1,way
1,chaos
1,defending
1,labour
1,unite
1,rayner
1,row
1,workers
1,then
1,american
1,bombs
1,them
1,beloved
1,canadian
1,chocolate
1,ethiopia
1,bar
1,disappears
1,ice
1,market
1,leaving
1,cats
1,dogs
1,raids
1,homeless
1,lopez
1,months
1,six
1,fires
1,never
1,each
1,other
