score,pubdate,source,title,link
93,2026-09-13-14-22-44 +0000,nypost,"Trump brushes off AI doom predictions as ‘things that won’t happen,’ says US must push ahead: ‘Whoever wins AI, wins.’",https://nypost.com/2026/09/13/tech/trump-brushes-off-ai-doom-predictions-says-us-must-push-ahead/
90,2026-09-13-19-34-36 +0000,bbc,Trump says he will remove all Irish whiskey tariffs as he ends two-day visit,https://www.bbc.co.uk/news/articles/cx2z79n0eeno?at_medium=RSS&at_campaign=rss
88,2026-09-13-18-13-12 +0000,chitri,President Donald Trump downplays the need to check AI development and says he doesn’t want to cede edge to China,https://www.chicagotribune.com/2026/09/13/trump-downplays-the-need-to-check-ai-development-and-says-he-doesnt-want-to-cede-edge-to-china/
87,2026-09-13-19-47-00 +0000,wsj,"Trump’s Irish weekend was supposed to center on low-stakes diplomacy. Instead, it drew him into controversy when he voiced support for Irish reunification, an issue U.S. presidents typically avoid",https://www.wsj.com/politics/elections/for-trump-a-golf-trip-to-ireland-tees-up-a-reunification-controversy-bf3c2f17?mod=rss_socialpoliticsfeed
87,2026-09-13-20-25-00 +0000,wsj,"President Trump made a surprise trade announcement at the Irish Open golf tournament, saying he plans to rescind the U.S.’s 10% tariff on Irish whiskey",https://www.wsj.com/economy/trade/trump-pledges-to-rescind-10-tariff-on-irish-whiskey-fc456b00?mod=rss_socialeconomyfeed
81,2026-09-13-22-02-00 +0000,wsj,President Trump defended the administration’s strategy of minimal regulation after the heads of the nation’s top AI companies endorsed a coordinated slowdown in the technology’s development,https://www.wsj.com/tech/ai/trump-defends-white-houses-light-touch-on-ai-regulation-c4ed2488?mod=rss_socialpoliticsfeed
79,2026-09-13-21-30-00 +0000,wsj,"The Republican nominee for Wisconsin governor, Rep. Tom Tiffany, survived an emergency water landing and swam to safety after his plane lost power approaching a Wisconsin airport, he said Sunday",https://www.wsj.com/politics/policy/wisconsin-governor-candidate-swims-to-safety-after-plane-ditches-in-lake-32dda6ff?mod=rss_socialpoliticsfeed
77,2026-09-13-17-41-22 +0000,chitri,"President Donald Trump calls on Ukraine to halt strikes on Russian diesel fuel, saying attacks causing a shortage",https://www.chicagotribune.com/2026/09/13/trump-ukraine-diesel-shortage/
63,2026-09-13-18-49-37 +0000,bbc,"Trump downplays warnings of AI risks, citing rivalry with China",https://www.bbc.co.uk/news/articles/c7v48vp31mdo?at_medium=RSS&at_campaign=rss
62,2026-09-13-16-00-15 +0000,chitri,Trump ally in Wisconsin sticks close to the president as Democrats push to flip swing district,https://www.chicagotribune.com/2026/09/13/trump-ally-in-wisconsin/
61,2026-09-13-21-10-56 +0000,wapo,Trump resists AI slowdown as the political tide turns,https://www.washingtonpost.com/politics/2026/09/13/trump-rejects-calls-so-slow-ai-development-citing-chinese-competition/
61,2026-09-13-16-27-01 +0000,nypost,"Trump blames Ukraine for diesel fuel price spike, urges Zelensky to stop hitting Russian refineries",https://nypost.com/2026/09/13/us-news/trump-blames-ukraine-for-diesel-fuel-price-spike-urges-zelensky-to-stop-hitting-russian-refineries/
60,2026-09-13-19-00-37 +0000,cbc,"Trump decries critics of AI, saying they're 'negative forces' with exaggerated concerns",https://www.cbc.ca/news/world/trump-decries-ai-critics-9.7342353?cmp=rss
59,2026-09-13-16-38-00 +0000,cbc,Will the U.S. midterm results affect Trump's tariffs on Canada? Democrats think yes,https://www.cbc.ca/news/politics/us-midterms-trump-canada-trade-war-democrats-9.7342260?cmp=rss
58,2026-09-13-13-55-08 +0000,nypost,Speaker Johnson says AI leaders must meet with Congress on safety laws after ‘end of humanity’ warnings — but resists calls for moratorium,https://nypost.com/2026/09/13/us-news/speaker-johnson-says-ai-leaders-must-meet-with-congress-on-safety-laws-after-end-of-humanity-warnings/
57,2026-09-13-19-51-14 +0000,chitri,"House Speaker Mike Johnson says President Donald Trump’s $5,000 ‘dividend’ needs congressional approval",https://www.chicagotribune.com/2026/09/13/johnson-trumps-5000-dividend-congrssional-approval/
55,2026-09-14-04-25-21 +0000,nypost,Trump says China ‘spies’ on US after report ties Chinese imagery to Iran strike,https://nypost.com/2026/09/14/us-news/trump-says-china-spies-on-us-after-report-ties-chinese-imagery-to-iran-strike/
54,2026-09-13-10-54-00 +0000,wsj,"The latest spot for a Trump Tower is an ex-Soviet republic, and what seven retirees learned after moving to low-tax states. Read more in today’s 10-Point newsletter.",https://www.wsj.com/economy/canada-seeks-eu-associate-member-status-as-u-s-trade-talks-collapse-4eebec65?mod=rss_socialeconomyfeed
54,2026-09-13-14-38-44 +0000,nyt,How Iran’s Hard-liners Blew Up the Peace Deal with Trump,https://www.nytimes.com/2026/09/13/world/middleeast/iran-hard-liners-sabotaged-peace-deal.html
50,2026-09-13-23-02-26 +0000,nyt,Trump Promises to Lift Tariffs on Irish Whiskey After Appeals,https://www.nytimes.com/2026/09/13/world/europe/trump-tariffs-irish-whiskey.html
48,2026-09-13-20-21-12 +0000,nyt,"In Doonbeg, Trump’s Irish Open Visit Prompts Protests and Praise",https://www.nytimes.com/2026/09/12/world/europe/trump-irish-open-ireland-doonbeg.html
48,2026-09-13-19-06-12 +0000,nyt,Trump Blames Ukraine for Global Diesel Shortage,https://www.nytimes.com/2026/09/13/business/trump-ukraine-diesel.html
47,2026-09-13-18-34-40 +0000,wapo,Trump calls on Zelensky to stop attacking Russian energy targets,https://www.washingtonpost.com/world/2026/09/13/trump-calls-zelensky-stop-attacking-russian-energy-targets/
47,2026-09-13-20-25-00 +0000,wsj,Trump Pledges to Rescind 10% Tariff on Irish Whiskey,https://www.wsj.com/economy/trade/trump-pledges-to-rescind-10-tariff-on-irish-whiskey-fc456b00?mod=pls_whats_news_us_business_f
47,2026-09-13-22-24-11 +0000,nypost,"Trump fuels voters on both sides in midterm elections, but Dems have upper hand: poll",https://nypost.com/2026/09/13/us-news/trump-fuels-voters-on-both-sides-in-midterm-elections-but-dems-have-upper-hand-poll/
47,2026-09-13-16-30-24 +0000,wapo,Wisconsin lawmaker says he swam to safety after emergency plane landing,https://www.washingtonpost.com/politics/2026/09/13/rep-tom-tiffany-says-he-swam-safety-after-emergency-plane-landing/
45,2026-09-13-21-48-00 +0000,wsj,"Opinion | Trump Lectures Ukraine, not Russia",https://www.wsj.com/opinion/trump-lectures-ukraine-not-russia-7eceaff6?mod=rss_worldnews
44,2026-09-13-12-43-52 +0000,wapo,"Oman, a mediator with Iran, is baffled by Trump’s bombing threat",https://www.washingtonpost.com/world/2026/09/13/trump-threatened-bomb-oman-oman-has-questions/
43,2026-09-13-15-23-39 +0000,chitri,Wisconsin congressman swims to safety after plane makes emergency landing,https://www.chicagotribune.com/2026/09/13/tom-tiffany/
42,2026-09-13-18-22-50 +0000,nypost,"New York Times’ Gaza war coverage was clearly biased against Israel, damning study reveals",https://nypost.com/2026/09/13/media/ny-times-gaza-war-coverage-was-clearly-biased-against-israel-damning-study/
41,2026-09-13-18-25-20 +0000,wapo,"Trump pokes the U.K., and Ireland’s unity debate catches fire",https://www.washingtonpost.com/world/2026/09/13/uk-debate-over-ireland-unification-catches-fire-after-trump-comments/
41,2026-09-13-21-30-00 +0000,wsj,Wisconsin Governor Candidate Swims to Safety After Plane Ditches in Lake,https://www.wsj.com/politics/policy/wisconsin-governor-candidate-swims-to-safety-after-plane-ditches-in-lake-32dda6ff?mod=rss_usnews
41,2026-09-14-08-00-01 +0000,startribune,GOP congressman from Wisconsin tearfully recounts surviving emergency plane landing in lake,https://www.startribune.com/gop-congressman-from-wisconsin-swims-to-safety-after-plane-makes-emergency-landing-in-a-lake/601888981
40,2026-09-13-22-22-45 +0000,latimes,Newsom brushes aside escalating federal probe into travel expenses as Trump retribution,https://www.latimes.com/california/story/2026-09-13/newsom-brushes-aside-escalating-doj-probe-into-travel-as-retribution
40,2026-09-13-10-00-01 +0000,wapo,"Bye, America: Trump’s rhetoric pushes some Canadians to shun the U.S.",https://www.washingtonpost.com/world/2026/09/13/canadians-boycott-us-its-products-amid-trump-threats/
40,2026-09-13-16-00-00 +0000,wsj,The U.S. Postal Service wants to press ahead—in time for the midterm elections—with new controls on mail ballots used by nearly a third of American voters,https://www.wsj.com/politics/policy/how-your-mail-carrier-ended-up-at-the-center-of-the-midterms-battle-bf9a0475?mod=rss_socialpoliticsfeed
40,2026-09-13-22-34-47 +0000,latimes,"California lawmakers urge criminal penalties, emergency legislation to rein in unchecked AI",https://www.latimes.com/california/story/2026-09-13/rogue-ai-concerns-prompt-ca-lawmakers-to-demand-penalties-guardrails
