score,pubdate,source,title,link
24,2025-07-13-01-00-00 +0000,wsj,"Economists expect stronger growth and job creation, lower risk of recession and cooler inflation than they did three months ago, according to a Wall Street Journal survey",https://www.wsj.com/economy/economists-see-lower-recession-risk-and-stronger-job-growth-wsj-survey-10d6e476
16,2025-07-13-16-29-05 +0000,bbc,Gaza officials say children killed in strike as Israeli military admits 'error',https://www.bbc.com/news/articles/c0rvxjnvv71o
16,2025-07-13-16-57-56 +0000,nyt,How Trump’s Latest Tariff Threat Risks Deeper Damage to Europe’s Economy,https://www.nytimes.com/2025/07/13/business/trump-tariffs-europe-economy.html
15,2025-07-13-13-00-00 +0000,startribune,Tonka Bay begins moving mounds of accidentally unearthed sacred soil piled near City Hall,https://www.startribune.com/tonka-bay-sacred-soil-mounds/601406848
14,2025-07-13-11-00-00 +0000,startribune,A wrongful-death ruling at an assisted-living facility was overturned in a rare successful appeal,https://www.startribune.com/a-wrongful-death-ruling-at-an-assisted-living-facility-was-overturned-in-a-rare-successful-appeal/601384865
13,2025-07-13-16-13-14 +0000,nyt,"In Canada’s Northern Outposts, Rusting Relics Once Guarded Against Nuclear War",https://www.nytimes.com/2025/07/13/world/americas/canada-cold-war-golden-dome.html
12,2025-07-13-13-00-00 +0000,startribune,"Brown: At 5,000 feet, the legacy of Iron Range mining in Minnesota is clear, but its future is hazy",https://www.startribune.com/iron-range-mining-impact-economy-environment/601410895
12,2025-07-13-08-00-00 +0000,cbc,Half of requests for complex dental work are being rejected under national insurance plan,https://www.cbc.ca/news/politics/dental-care-expansion-growing-pains-1.7583230?cmp=rss
12,2025-07-13-01-04-00 +0000,wsj,Answers to frequently asked questions about The Wall Street Journal's Economic Forecasting survey plus links to stories and archival data.,https://www.wsj.com/economy/economic-forecasting-survey-archive-11617814998
11,2025-07-12-23-40-23 +0000,bbc,"Inside the Congolese mine vital to mobile phones, as rebels give BBC rare access",https://www.bbc.com/news/articles/cyvj986l615o
