pubdate,source,title,link
2025-07-13-19-31-09 +0000,nypost,Camp Mystic survivors heard screams in the dark as flood waters hit hours earlier than previously thought,https://nypost.com/2025/07/13/us-news/camp-mystic-survivors-heard-screams-in-the-dark-as-flood-waters-hit/
2025-07-13-19-18-33 +0000,nypost,Tucker Carlson draws lefty acclaim for blasting Republicans: ‘I’m becoming a … fan’,https://nypost.com/2025/07/13/us-news/tucker-carlson-draws-lefty-acclaim-for-blasting-republicans-im-becoming-a-fan/
2025-07-13-19-16-50 +0000,nyt,South African President Opens Corruption Inquiry of Police Leader,https://www.nytimes.com/2025/07/13/world/africa/south-africa-police-corruption-ramaphosa.html
2025-07-13-19-11-43 +0000,nypost,President Trump and first lady Melania arrive at MetLife Stadium to huge applause for FIFA Club World Cup final,https://nypost.com/2025/07/13/us-news/president-trump-melania-arrive-at-fifa-club-world-cup-final-at-metlife-stadium/
2025-07-13-19-05-36 +0000,nypost,Hospice nurse who cut off patient’s foot without permission for use in sickening taxidermy shop display escapes jail sentence,https://nypost.com/2025/07/13/us-news/nurse-who-cut-off-patients-foot-for-use-in-sickening-taxidermy-shop-display-escapes-jail-sentence/
2025-07-13-18-57-25 +0000,nypost,"No bull! These are the wildest recent exotic-animal rescues in NYC, LI",https://nypost.com/2025/07/13/us-news/no-bull-these-are-the-wildest-recent-exotic-animal-rescues-in-nyc-li/
2025-07-13-18-55-19 +0000,nypost,"NYC Dems ‘recruiting people’ to move to Florida by backing Mamdani, senator says: ‘Insanity’",https://nypost.com/2025/07/13/us-news/nyc-dems-recruiting-people-to-move-to-florida-by-backing-mamdani-fla-senator-says-insanity/
2025-07-13-18-34-07 +0000,nypost,Kentucky State Trooper seriously injured in shooting at Lexington’s Blue Grass Airport — with reports of others wounded at local church,https://nypost.com/2025/07/13/us-news/several-injured-in-shooting-at-lexingtons-blue-grass-airport-with-reports-of-state-trooper-wounded/
2025-07-13-18-26-53 +0000,nypost,"Megyn Kelly, MAGA stars call for Pam Bondi’s head as Epstein files firestorm intensifies",https://nypost.com/2025/07/13/us-news/megyn-kelly-maga-stars-rail-against-pam-bondi-over-epstein-files/
2025-07-13-18-19-57 +0000,nypost,"Migrant scammers are ‘hijacking’ NYC pedicab industry, licensed drivers say",https://nypost.com/2025/07/13/us-news/migrant-scammers-are-hijacking-nyc-pedicab-industry-licensed-drivers-say/
2025-07-13-17-24-42 +0000,nypost,"Secret Service failed to discipline agent at the heart of security breakdown in Trump assassination attempt, report finds",https://nypost.com/2025/07/13/us-news/secret-service-failed-to-discipline-agent-at-the-heart-of-security-breakdown-in-trump-assassination-attempt-report/
