pubdate,source,title,link
2025-07-15-18-44-15 +0000,nypost,Mayor Adams to land massive endorsements in early days of independent re-election run,https://nypost.com/2025/07/15/us-news/mayor-adams-to-land-massive-endorsements-in-early-days-of-independent-re-election-run/
2025-07-15-18-44-15 +0000,nyt,Rising Inflation Underscores Risks in Trump’s New Tariff Threats,https://www.nytimes.com/2025/07/15/us/politics/trump-tariffs-inflation.html
2025-07-15-18-32-59 +0000,bbc,Trump says Ukraine should not target Moscow,https://www.bbc.com/news/articles/cvg6zg6kelro
2025-07-15-18-27-07 +0000,nyt,Canada Wildfire Smoke Triggers Toronto and U.S. Air Quality Alerts,https://www.nytimes.com/2025/07/14/world/canada/canada-wildfire-smoke-manitoba-toronto-us.html
2025-07-15-18-19-50 +0000,bbc,Adolescence star Owen Cooper becomes Emmys' youngest ever nominee,https://www.bbc.com/news/articles/cjelpe2y3plo
2025-07-15-18-13-31 +0000,nyt,Israel Stages Rare Attack on Syrian Government Forces,https://www.nytimes.com/2025/07/15/world/middleeast/airstrikes-israel-syria-lebanon.html
2025-07-15-17-49-34 +0000,bbc,Carney says US-Canada trade deal likely to include some tariffs,https://www.bbc.com/news/articles/c0q82qqxegno
2025-07-15-17-35-23 +0000,nypost,Calif. Dem Rep. Ro Khanna’s bid to force release of Epstein files falls flat in House,https://nypost.com/2025/07/15/us-news/ro-khannas-bid-to-force-release-of-epstein-files-falls-flat-in-house/
2025-07-15-17-34-02 +0000,nypost,"Trump to unveil $90B AI, energy investment in major push for US to lead innovation over China",https://nypost.com/2025/07/15/us-news/trump-to-unveil-90-billion-investment-in-ai-energy/
2025-07-15-16-57-49 +0000,nyt,Netanyahu’s Ultra-Orthodox Allies Threaten His Coalition Government,https://www.nytimes.com/2025/07/15/world/middleeast/netanyahu-ultra-orthodox-draft.html
2025-07-15-16-23-29 +0000,nypost,Largest teachers union slams ‘unlawful’ cuts to Department of Education after Supreme Court ruling,https://nypost.com/2025/07/15/us-news/largest-teachers-union-slams-unlawful-cuts-to-department-of-education-after-supreme-court-ruling/
2025-07-15-16-10-16 +0000,bbc,Air quality alerts issued in Canada and  US as wildfires continue to burn,https://www.bbc.com/news/articles/c79q42y07wpo
2025-07-15-16-04-44 +0000,nypost,Rep. Wesley Hunt probes how many of New York’s 670K illegal immigrants are on Medicaid,https://nypost.com/2025/07/15/us-news/rep-wesley-hunt-probes-how-many-of-new-yorks-670k-illegal-immigrants-are-on-medicaid/
2025-07-15-16-03-33 +0000,nypost,Trump says ‘scam artist’ Adam Schiff must be ‘brought to justice’ for mortgage fraud after DOJ criminal referral,https://nypost.com/2025/07/15/us-news/trump-says-sen-adam-schiff-must-be-brought-to-justice-for-mortgage-fraud-after-doj-criminal-referral/
2025-07-15-15-55-59 +0000,nyt,"Three Aid Workers Were ‘Intentionally Killed’ in Tigray Region of Ethiopia, M.S.F. Says",https://www.nytimes.com/2025/07/15/world/africa/ethiopia-tigray-msf.html
2025-07-15-15-55-22 +0000,nyt,China Puts New Restrictions on E.V. Battery Manufacturing Technology,https://www.nytimes.com/2025/07/15/business/china-electric-vehicle-battery-manufacturing.html
2025-07-15-15-53-52 +0000,nyt,Air India Crash Findings Prompt Inspections of Boeing Fuel Switches,https://www.nytimes.com/2025/07/15/world/asia/air-india-plane-crash-fuel-switch-boeing.html
2025-07-15-15-51-03 +0000,bbc,What does the US education department do - and can Trump truly dismantle it?,https://www.bbc.com/news/articles/c79zxzj90nno
2025-07-15-15-44-55 +0000,nyt,The Economy Has Been Resilient. The New Round of Tariffs May Hit Harder.,https://www.nytimes.com/2025/07/14/us/politics/tariff-threats-us-economy.html
2025-07-15-15-06-43 +0000,bbc,US inflation rises as tariffs drive up prices,https://www.bbc.com/news/articles/c36x29l7e69o
2025-07-15-14-57-21 +0000,bbc,Two dead after flash flooding in New Jersey and New York City,https://www.bbc.com/news/articles/c0j42xy47q7o
2025-07-15-14-28-45 +0000,nyt,Rubio Visits Asia in Shadow of Trump’s Tariffs,https://www.nytimes.com/video/world/asia/100000010277461/rubio-visits-asia-in-shadow-of-trumps-tariffs.html
2025-07-15-14-27-49 +0000,nypost,Trump announces ‘great’ trade deal with Indonesia after threatening 32% tariffs,https://nypost.com/2025/07/15/us-news/trump-announces-indonesia-trade-deal-after-threatening-32-tariffs/
2025-07-15-14-26-07 +0000,nypost,"Mother Jones editor ripped as ‘soulless ghoul’ for attack on JD Vance, kids after Disneyland trip",https://nypost.com/2025/07/15/us-news/mother-jones-editor-ripped-as-for-saying-jd-vances-kids-deserve-to-get-heckled-at-disneyland/
2025-07-15-13-45-24 +0000,nypost,Tesla debuts in India — but its too expensive for most residents,https://nypost.com/2025/07/15/world-news/tesla-debuts-in-india-but-is-too-expensive-for-residents/
2025-07-15-13-38-01 +0000,nyt,Videos From the Amazon Reveal an Unexpected Animal Friendship,https://www.nytimes.com/2025/07/15/science/ocelots-opossums-friends-video.html
2025-07-15-13-32-31 +0000,nyt,China’s Economy Grows Steadily Despite Trump’s Tariffs,https://www.nytimes.com/2025/07/14/business/china-economy-gdp-q2.html
2025-07-15-12-02-12 +0000,bbc,Watch: How do you get a phone call with the president?,https://www.bbc.com/news/videos/cdx5pw4kdgwo
2025-07-15-11-43-01 +0000,nyt,Australian Premier Albanese Meets China’s Xi in Beijing,https://www.nytimes.com/2025/07/15/world/asia/china-australia-trade-security.html
2025-07-15-11-01-31 +0000,bbc,Trump imposes 17% tariff on Mexican tomatoes,https://www.bbc.com/news/articles/c78nqggx8zqo
2025-07-15-10-42-38 +0000,bbc,How Trump woke me up for surprise interview  - and the key takeaways,https://www.bbc.com/news/articles/c5yg7eg8w98o
2025-07-15-10-21-17 +0000,nyt,Indian Police Find Russian Woman Living in a Cave With 2 Children,https://www.nytimes.com/2025/07/15/world/asia/india-russian-woman-cave.html
2025-07-15-10-01-29 +0000,bbc,Watch: Flash flooding sweeps through New York City subways,https://www.bbc.com/news/videos/c0l4259g3jdo
2025-07-15-10-00-00 +0000,nypost,Secret Service’s most egregious failures revealed in damning reports on Trump’s attempted assassination,https://nypost.com/2025/07/15/us-news/secret-services-most-egregious-failures-revealed-in-damning-reports-on-attempted-donald-trump-assassination/
2025-07-15-09-38-38 +0000,bbc,'Not our war' - Trump's Nato weapons deal for Ukraine sparks MAGA anger,https://www.bbc.com/news/articles/c14e2ydv4d6o
2025-07-15-09-06-15 +0000,bbc,"I'm 'disappointed but not done' with Putin, Trump tells BBC",https://www.bbc.com/news/articles/c1e02q12z32o
2025-07-15-09-00-14 +0000,nyt,"Amid Devastating Winter Losses, Another Threat Looms For U.S. Beekeepers",https://www.nytimes.com/2025/07/15/science/honeybees-agriculture-tropilaelaps-mite.html
2025-07-15-08-40-33 +0000,bbc,Beyoncé's unreleased music stolen from choreographer's car,https://www.bbc.com/news/articles/cdx5p4we9qjo
2025-07-15-06-53-36 +0000,bbc,"Listen: 'I trust almost nobody,' Trump says when asked about Putin",https://www.bbc.com/news/videos/cn4lpdyp0nzo
2025-07-15-05-10-23 +0000,nypost,GOP congressman facing eviction blames broken payment links for $85K in unpaid rent,https://nypost.com/2025/07/15/us-news/gop-congressman-facing-eviction-blames-broken-payment-links-for-85k-in-unpaid-rent/
2025-07-15-02-15-17 +0000,nypost,Three Democrats win double-digit support in early 2028 presidential primary poll — with one clear frontrunner,https://nypost.com/2025/07/14/us-news/three-democrats-win-double-digit-support-in-early-2028-presidential-primary-poll/
2025-07-15-01-29-35 +0000,nypost,Former Obama speechwriter admits shunning conservative in his family was a mistake,https://nypost.com/2025/07/14/us-news/former-obama-speechwriter-admits-shunning-conservative-is-wrong/
