pubdate,source,title,link
2025-07-13-22-44-12 +0000,nypost,Ex-Secret Service director fires back at Rand Paul’s accusations she lied about lack of resources given to Trump’s Butler rally,https://nypost.com/2025/07/13/us-news/ex-secret-service-director-kimberly-cheatle-fires-back-at-rand-pauls-accusations-she-lied-about-lack-of-resources-give-to-trumps-butler-rally/
2025-07-13-22-43-30 +0000,nypost,Ex-AOC top aide urges Mamdani to run primaries against Dems resisting his socialist agenda: ‘Politics runs on fear’,https://nypost.com/2025/07/13/us-news/ex-aoc-aide-mamdani-must-run-primaries-against-dems-resisting-agenda/
2025-07-13-22-36-19 +0000,nyt,Monday Briefing: America’s Brain Drain and the World,https://www.nytimes.com/2025/07/13/briefing/harvard-science-brain-drain-us-rare-earths-eu-trade.html
2025-07-13-22-33-25 +0000,nyt,"Muhammadu Buhari, Nigeria’s Former President, Dies at 82",https://www.nytimes.com/2025/07/13/obituaries/muhammadu-buhari-nigeria-obituary.html
2025-07-13-22-20-06 +0000,bbc,Two women killed at Kentucky church as gunman opens fire after shooting officer,https://www.bbc.com/news/articles/cm2l5jn6254o
2025-07-13-21-32-49 +0000,nypost,Former Dem advisor says he’s ‘almost speechless’ at Mamdani’s ‘enraging’ anti-cop comments,https://nypost.com/2025/07/13/us-news/former-dem-advisor-dan-turrentine-speaks-out-against-mamdanis-anti-cop-comments/
2025-07-13-20-45-42 +0000,bbc,Trump defends US Attorney General Pam Bondi over Epstein files,https://www.bbc.com/news/articles/c9qxd2exqgno
2025-07-13-20-15-06 +0000,nyt,South African President Opens Corruption Inquiry of Police Leader,https://www.nytimes.com/2025/07/13/world/africa/south-africa-police-corruption-ramaphosa.html
2025-07-13-20-11-31 +0000,nypost,"Times Square ad for Vivek Ramaswamy rips ‘radical socialist’ Zohran Mamdani, urges NYers to flee for Ohio: ‘Waiting For You!’",https://nypost.com/2025/07/13/us-news/times-square-ad-takes-aim-at-radical-socialist-mamdani-urges-nyers-to-flee-to-ohio/
2025-07-13-19-18-33 +0000,nypost,Tucker Carlson draws lefty acclaim for blasting Republicans: ‘I’m becoming a … fan’,https://nypost.com/2025/07/13/us-news/tucker-carlson-draws-lefty-acclaim-for-blasting-republicans-im-becoming-a-fan/
2025-07-13-19-11-43 +0000,nypost,President Trump and first lady Melania arrive at MetLife Stadium to huge applause for FIFA Club World Cup final,https://nypost.com/2025/07/13/us-news/president-trump-melania-arrive-at-fifa-club-world-cup-final-at-metlife-stadium/
2025-07-13-18-55-19 +0000,nypost,"NYC Dems ‘recruiting people’ to move to Florida by backing Mamdani, senator says: ‘Insanity’",https://nypost.com/2025/07/13/us-news/nyc-dems-recruiting-people-to-move-to-florida-by-backing-mamdani-fla-senator-says-insanity/
2025-07-13-18-26-53 +0000,nypost,"Megyn Kelly, MAGA stars call for Pam Bondi’s head as Epstein files firestorm intensifies",https://nypost.com/2025/07/13/us-news/megyn-kelly-maga-stars-rail-against-pam-bondi-over-epstein-files/
2025-07-13-16-55-25 +0000,nypost,Mamdani-loving Brad Lander aids boycott movement against Israel with ‘withdrawal’ of bonds: Adams’ camp,https://nypost.com/2025/07/13/us-news/brad-lander-aids-boycott-movement-against-israel-with-withdrawal-of-bonds-adams-camp/
2025-07-13-16-32-03 +0000,nyt,"For Families of Air India Crash Victims, Report Brings No Closure",https://www.nytimes.com/2025/07/13/world/asia/air-india-crash-report-victim-families.html
2025-07-13-16-26-22 +0000,nyt,France Announces Agreement to Give New Caledonia More Autonomy,https://www.nytimes.com/2025/07/13/world/asia/france-new-caledonia-agreement.html
2025-07-13-16-13-14 +0000,nyt,"In Canada’s Northern Outposts, Rusting Relics Once Guarded Against Nuclear War",https://www.nytimes.com/2025/07/13/world/americas/canada-cold-war-golden-dome.html
2025-07-13-15-48-40 +0000,nypost,Andrew Cuomo set to run as an independent in NYC mayoral race — but there’s a catch,https://nypost.com/2025/07/13/us-news/andrew-cuomo-set-to-run-as-independent-in-nyc-mayoral-race/
2025-07-13-15-39-31 +0000,latimes,'Superman' rescues DC at the box office with a $122-million debut,https://www.latimes.com/entertainment-arts/business/story/2025-07-13/superman-revives-dc-at-the-box-office-with-a-122-million-debut
2025-07-13-15-20-08 +0000,bbc,"Texas camp buildings were removed from map showing flood risks, US media reports",https://www.bbc.com/news/articles/ce8zjk5yx8wo
2025-07-13-15-18-43 +0000,nyt,"To Sidestep Trump Tariffs, Asian Nations Seek New Trade Partners",https://www.nytimes.com/2025/07/13/business/economy/trump-tariffs-trade-deals.html
2025-07-13-14-20-54 +0000,nypost,Kash Patel insists Epstein ‘conspiracy theories just aren’t true’ as MAGA rages over docs,https://nypost.com/2025/07/13/us-news/kash-patel-insists-conspiracy-theories-just-arent-true-amid-epstein-firestorm/
2025-07-13-12-58-08 +0000,nypost,President Trump reveals what he really wants his legacy to be after he leaves office,https://nypost.com/2025/07/13/us-news/president-trump-reveals-what-he-really-wants-his-legacy-to-be-after-he-leaves-office/
2025-07-13-10-00-44 +0000,nypost,‘Spared by God’: Trump allies reflect on assassination attempt in Butler one year later,https://nypost.com/2025/07/13/us-news/trump-allies-reflect-on-butler-assassination-attempt-one-year-later-spared-by-god/
2025-07-13-07-17-55 +0000,bbc,US drops charges against doctor accused of destroying Covid vaccines,https://www.bbc.com/news/articles/cy0w1p0wq87o
2025-07-13-04-28-08 +0000,nyt,Modi Wants More Indians to Speak Hindi. Some States Are Shouting ‘No.’,https://www.nytimes.com/2025/07/13/world/asia/india-modi-hindi.html
2025-07-13-03-34-49 +0000,bbc,EU and Mexico criticise Trump's proposed 30% tariff,https://www.bbc.com/news/articles/cyvj13d9ylpo
2025-07-13-02-44-25 +0000,nypost,Border czar Tom Homan delivers fiery response to anti-ICE activist interrupting him: ‘You want some? Come get some’,https://nypost.com/2025/07/12/us-news/border-czar-tom-homan-delivers-stern-warning-to-anti-ice-protesters-you-want-some-come-get-some/
2025-07-13-01-04-00 +0000,wsj,Answers to frequently asked questions about The Wall Street Journal's Economic Forecasting survey plus links to stories and archival data.,https://www.wsj.com/economy/economic-forecasting-survey-archive-11617814998
2025-07-13-01-00-00 +0000,wsj,"Economists expect stronger growth and job creation, lower risk of recession and cooler inflation than they did three months ago, according to a Wall Street Journal survey",https://www.wsj.com/economy/economists-see-lower-recession-risk-and-stronger-job-growth-wsj-survey-10d6e476
2025-07-12-23-56-51 +0000,nypost,Trump defends Pam Bondi hours after FBI boss Kash Patel squashed ‘conspiracy’ resignation rumors over Epstein files uproar,https://nypost.com/2025/07/12/us-news/trump-defends-pam-bondi-hours-after-fbi-boss-kash-patel-squashed-conspiracy-resignation-rumors-over-epstein-files-uproar/
