pubdate,source,title,link
2026-02-28-14-53-29 +0000,nyt,Live Updates: U.S. and Israel Strike Iran as Trump Calls for Overthrow of Government,https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump
2026-02-28-14-48-44 +0000,wapo,"Rubio called key lawmakers on Iran strikes ahead of time, White House says",https://www.washingtonpost.com
2026-02-28-14-48-44 +0000,wapo,Live updates: U.S. and Israel launch attack on Iran as Trump calls for regime change,https://www.washingtonpost.com/world/2026/02/28/israel-strikes-iran-live-updates/
2026-02-28-14-48-41 +0000,nyt,Trump Gives Green Light to Private Oil Sales to Cuba,https://www.nytimes.com/2026/02/28/world/americas/trump-cuba-oil-sales.html
2026-02-28-14-45-44 +0000,nyt,Israelis Take Shelter as Sirens Warn of Incoming Missiles,https://www.nytimes.com/2026/02/28/world/middleeast/israel-missiles-shelter-iran.html
2026-02-28-14-45-42 +0000,nyt,Here’s the latest.,https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/iran-strikes-us
2026-02-28-14-38-00 +0000,wsj,Berkshire’s Abel Pledges to Follow Buffett’s ‘Framework’ in First Shareholder Letter,https://www.wsj.com/business/earnings/greg-abel-berkshire-hathaway-letter-9b32e0fa?mod=pls_whats_news_us_business_f
2026-02-28-14-37-05 +0000,startribune,US and Israel launch a major attack on Iran and Trump urges Iranians to 'take over your government',https://www.startribune.com/witnesses-say-they-hear-an-explosion-in-irans-capital-tehran/601590347
2026-02-28-14-37-02 +0000,nypost,French President Emmanuel Macron calls Trump’s attack on Iran ‘dangerous’,https://nypost.com/2026/02/28/world-news/french-president-emmanuel-macron-calls-trumps-attack-on-iran-dangerous/
2026-02-28-14-33-03 +0000,nypost,"Iranian Supreme Leader Ayatollah Ali Khamenei has survived Operation Epic Fury ‘as far as I know,’ foreign minister says",https://nypost.com/2026/02/28/world-news/iranian-supreme-leader-ayatollah-ali-khamenei-has-survived-operation-epic-fury-as-far-as-i-know-foreign-minister-says/
2026-02-28-14-23-18 +0000,nyt,See photos and videos from the Middle East after the U.S.-led attacks.,https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/see-photos-and-videos-from-the-middle-east-after-the-us-led-attacks
2026-02-28-14-22-36 +0000,nyt,"Iran Hits Back Across the Mideast, Targeting U.S. Bases and Allies",https://www.nytimes.com/2026/02/28/world/middleeast/iran-retaliatory-strikes-region.html
2026-02-28-14-14-00 +0000,wsj,How Mideast Conflict Could Upend Your Flight,https://www.wsj.com/world/middle-east/how-mideast-conflict-could-upend-your-flight-7e69971f?mod=pls_whats_news_us_business_f
2026-02-28-14-05-03 +0000,nyt,"As U.S. Bombs Tehran, Some Iranians Feel Abandoned by Their Leaders",https://www.nytimes.com/2026/02/28/world/middleeast/iran-war-mood.html
2026-02-28-14-00-00 +0000,missionlocal,Last exit,https://missionlocal.org/2026/02/last-exit/
2026-02-28-14-00-00 +0000,nypost,Epstein’s former Lolita Express pilot-girlfriend worked with feds in exchange for US visa help: DOJ files,https://nypost.com/2026/02/28/us-news/epsteins-former-pilot-girlfriend-cooperated-with-feds-in-exchange-for-help-with-us-visa/
2026-02-28-13-55-40 +0000,nyt,A Trump Call Ignited Saudi-U.A.E. Feud,https://www.nytimes.com/2026/02/27/world/middleeast/saudi-arabia-united-arab-emirates-feud-trump-call.html
2026-02-28-13-51-35 +0000,nypost,"Goal of Operation Epic Fury is ‘freedom’ for Iranians, President Trump says",https://nypost.com/2026/02/28/world-news/goal-of-operation-epic-fury-is-freedom-for-iranians-president-trump-says/
2026-02-28-13-45-00 +0000,nypost,Marilyn Monroe’s final photo shoot weeks before her death sparks legal battle—as auction house makes nearly $1M off negatives,https://nypost.com/2026/02/28/us-news/marilyn-monroes-final-photo-shoot-weeks-before-her-death-sparks-legal-battleas-auction-house-makes-nearly-1m-off-negatives/
2026-02-28-13-41-42 +0000,bbc,What we know about the joint US-Israel attack on Iran,https://www.bbc.com/news/articles/cx2dyz6p3weo?at_medium=RSS&at_campaign=rss
2026-02-28-13-41-15 +0000,nyt,"After the U.S. Attack on Iran, See Photos From the Middle East",https://www.nytimes.com/2026/02/28/world/iran-israel-trump-attack-photos.html
2026-02-28-13-35-44 +0000,bbc,"Iran says it has hit US base in Bahrain, as it launches strikes across region",https://www.bbc.com/news/articles/c204px4zddro?at_medium=RSS&at_campaign=rss
2026-02-28-13-30-00 +0000,nypost,LI judge’s ‘groundbreaking’ divorce case ruling makes giving partner STD a form of domestic violence in NY,https://nypost.com/2026/02/28/us-news/giving-partner-std-is-a-form-of-domestic-violence-in-ny-judge/
2026-02-28-13-24-27 +0000,nypost,Video shows moment missiles rained down on Iran Supreme Leader’s compound — as civilians laugh,https://nypost.com/2026/02/28/world-news/video-shows-missiles-rain-down-on-iran-supreme-leaders-compound/
2026-02-28-13-23-42 +0000,nyt,Banks Are Becoming Bulwarks for Vulnerable Seniors,https://www.nytimes.com/2026/02/28/health/scams-elderly-banks.html
2026-02-28-13-21-58 +0000,nypost,"Iranian Supreme Leader Ali Khamenei, president targeted in US attack on Iran as first photos of destroyed compound emerge",https://nypost.com/2026/02/28/world-news/iranian-supreme-leader-ali-khamenei-president-targeted-in-us-attack-on-iran-as-first-photos-of-destroyed-compound-emerge/
2026-02-28-13-16-08 +0000,nyt,Here’s What World Leaders Are Saying About the U.S.-Led Attack on Iran,https://www.nytimes.com/2026/02/28/world/middleeast/iran-attacks-reaction.html
2026-02-28-13-15-00 +0000,nypost,Coney Island principal failed to protect 2 elderly stray cats buried repeatedly in snow storms: activists,https://nypost.com/2026/02/28/us-news/coney-island-principal-failed-to-protect-2-elderly-stray-cats-buried-repeatedly-in-snow-storms/
2026-02-28-13-11-38 +0000,nyt,What to Know About the U.S. Attacks on Iran,https://www.nytimes.com/2026/02/28/world/middleeast/iran-attacks-what-to-know.html
2026-02-28-13-01-17 +0000,nyt,How David Zaslav Pulled Off the Sale of Warner Bros. Discovery to Paramount,https://www.nytimes.com/2026/02/27/business/media/david-zaslav-warner-bros-discovery-paramount.html
2026-02-28-13-00-39 +0000,bbc,At least 20 killed after military plane carrying banknotes crashes in Bolivia,https://www.bbc.com/news/articles/c0rjpxxpp49o?at_medium=RSS&at_campaign=rss
2026-02-28-13-00-04 +0000,nyt,Several rounds of U.S.-Iran nuclear talks failed to stave off strikes.,https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/several-rounds-of-us-iran-nuclear-talks-failed-to-stave-off-strikes
2026-02-28-13-00-03 +0000,nyt,"Lloyd Blankfein on Trump, Epstein and Life After Goldman Sachs",https://www.nytimes.com/2026/02/28/business/dealbook/lloyd-blankfein-book.html
2026-02-28-13-00-00 +0000,startribune,"Ramstad: Readers wonder why growth is good, and whether AI is the new threat",https://www.startribune.com/ramstad-readers-wonder-why-growth-is-good-and-whether-ai-is-the-new-threat/601586901
2026-02-28-13-00-00 +0000,latimes,Lopez: My toothache led to a painful discovery: The dental care system is full of cavities as you age,https://www.latimes.com/california/story/2026-02-28/lopez-column-dental-care-system-costs
2026-02-28-13-00-00 +0000,nypost,Attacks against NYPD officers rise during Mamdani’s first 2 months — as cops irate over mayor’s insulting attitude toward police,https://nypost.com/2026/02/28/us-news/attacks-against-nypd-officers-rise-during-mamdanis-first-2-months/
2026-02-28-13-00-00 +0000,nypost,Can you spot an AI generated face? Put your skills to the test with our quiz,https://nypost.com/2026/02/28/us-news/can-you-spot-an-ai-generated-face-put-your-skills-to-the-test-with-our-quiz/
2026-02-28-12-53-36 +0000,nypost,"Multiple high-ranking Islamic commanders, regime officials killed in Operation Epic Fury: report",https://nypost.com/2026/02/28/world-news/multiple-high-ranking-islamic-commanders-regime-officials-killed-in-operation-epic-fury-report/
2026-02-28-12-50-33 +0000,nyt,Chaos and Panic Grip Tehran as Airstrikes Shake City,https://www.nytimes.com/2026/02/28/world/middleeast/iran-reaction-us-attack-tehran.html
2026-02-28-12-46-45 +0000,nyt,How The Times Covers Cartels and Other Criminal Enterprises,https://www.nytimes.com/2026/02/28/insider/times-reporters-mexico-el-mencho-cartels.html
2026-02-28-12-41-00 +0000,wsj,Trump Rolls the Dice on Regime Change With a Massive Attack on Iran,https://www.wsj.com/world/middle-east/trump-rolls-the-dice-on-regime-change-with-a-massive-attack-on-iran-66b0cc69
2026-02-28-12-29-57 +0000,nypost,Millions of Israelis take shelter as threats of retaliatory strikes from Iran remain constant,https://nypost.com/2026/02/28/world-news/netanyahu-calls-joint-attack-on-iran-a-strike-at-terrorist-regime-that-was-existential-threat/
2026-02-28-12-26-09 +0000,nypost,"Trump ‘met the moment’ with ‘Operation Epic Fury’ airstrikes on Iran, Sen. Lindsey Graham says",https://nypost.com/2026/02/28/world-news/trump-met-the-moment-with-operation-epic-fury-airstrikes-on-iran-sen-lindsay-graham-says/
2026-02-28-12-25-39 +0000,nypost,"Trump directs Tehran to ‘lay down your arms’ or face ‘certain death’ after US, Israel strikes as he appeals to protesters",https://nypost.com/2026/02/28/us-news/trump-directs-tehran-to-lay-down-your-arms-or-face-certain-death-after-us-israel-strikes-as-he-appeals-to-protesters/
2026-02-28-12-23-09 +0000,wapo,Trump: ‘Freedom’ for Iran is goal of ‘major military operation’,https://www.washingtonpost.com/national-security/2026/02/28/trump-iran-war-regime-change-freedom/
2026-02-28-12-17-17 +0000,bbc,"Bowen: A dangerous moment, but US and Israel see opportunity not to be missed",https://www.bbc.com/news/articles/cn0z9012291o?at_medium=RSS&at_campaign=rss
2026-02-28-12-00-42 +0000,wapo,The last Marine to leave Vietnam has died. Juan Valdez was 88.,https://www.washingtonpost.com/obituaries/2026/02/28/juan-valdez-dead-last-marine-vietnam/
2026-02-28-12-00-01 +0000,startribune,In their own words: Judges rebuke U.S. attorneys over immigration,https://www.startribune.com/in-their-own-words-judges-rebuke-us-attorneys-over-immigration/601589964
2026-02-28-12-00-00 +0000,wsj,Coal Power’s Comeback Isn’t Spurring New Investment,https://www.wsj.com/business/energy-oil/coal-powers-comeback-isnt-spurring-new-investment-136c4a46?mod=pls_whats_news_us_business_f
2026-02-28-12-00-00 +0000,startribune,ICE surged in Minnesota to arrest criminals. Many of them were already in jail.,https://www.startribune.com/ice-surged-in-minnesota-to-arrest-criminals-many-of-them-were-already-in-jail/601584589
2026-02-28-12-00-00 +0000,startribune,"As another rent payment nears, housing advocates warn of ‘huge emergency’ over evictions",https://www.startribune.com/as-another-rent-payment-nears-housing-advocates-warn-of-huge-emergency-over-evictions/601583691
2026-02-28-12-00-00 +0000,missionlocal,People We Meet: Junior keeps watch at Mission and 30th,https://missionlocal.org/2026/02/sf-junior-30th-and-mission-people-we-meet/
2026-02-28-12-00-00 +0000,latimes,Piano teacher accused of child sex crimes tried to escape to Australia. Now he faces prison,https://www.latimes.com/california/story/2026-02-28/la-piano-teacher-who-fled-to-australia-during-sex-abuse-trial-sentenced
2026-02-28-12-00-00 +0000,wsj,"House retirements are really piling up. From Elise Stefanik to Nancy Pelosi to Don Bacon, here are some notable retirements from this term.",https://www.wsj.com/politics/policy/congress-lawmakers-retirement-2026-8f4e61bc
2026-02-28-11-54-29 +0000,nyt,Trump Calls for Overthrow of Iran’s Government,https://www.nytimes.com/2026/02/28/world/middleeast/trump-iran-strikes-video.html
2026-02-28-11-36-24 +0000,nyt,Trump’s case for striking Iran rests on questionable claims.,https://www.nytimes.com/live/2026/02/28/world/iran-strikes-trump/trumps-case-for-striking-iran-rests-on-questionable-claims
