pubdate,source,title,link
2025-07-19-19-20-49 +0000,business,"Trump sues Wall Street Journal, Rupert Murdoch over Epstein letter story",https://www.washingtonpost.com/politics/2025/07/18/trump-lawsuit-wall-street-journal-murdoch-epstein/
2025-07-19-10-15-39 +0000,business,Here’s where public broadcasting cuts hit the hardest,https://www.washingtonpost.com/business/2025/07/19/pbs-npr-cpb-cuts-rural/
2025-07-19-10-00-33 +0000,business,Can the Fed stay independent? Trump-era adviser may put it to the test.,https://www.washingtonpost.com/business/2025/07/19/fed-independence-hassett-trump/
2025-07-19-00-33-38 +0000,business,Trump lawsuit against Washington Post journalist Bob Woodward dismissed,https://www.washingtonpost.com/politics/2025/07/18/trump-bob-woodward-lawsuit-dismissed/
