pubdate,source,title,link
2025-07-20-09-00-00 +0000,world,U.S. citizen who works for Commerce Dept. ensnared in Chinese exit ban,https://www.washingtonpost.com/national-security/2025/07/20/china-exit-ban-commerce-department-trump-xi/
2025-07-20-08-00-49 +0000,world,See how Nigeria’s economic crisis has changed this village,https://www.washingtonpost.com/world/interactive/2025/nigeria-fuel-subsidy-poverty-economy/
2025-07-20-06-00-38 +0000,world,Killings near a West Bank village show even Americans aren’t immune,https://www.washingtonpost.com/world/2025/07/20/west-bank-israeli-settlers-violence/
2025-07-20-04-30-39 +0000,world,"Tourist boat capsizes in Vietnam’s Ha Long Bay, killing dozens",https://www.washingtonpost.com/world/2025/07/20/vietnam-boat-capsized-ha-long-bay/
2025-07-19-18-13-54 +0000,world,"As U.S. hails Syria ceasefire, Sweida residents say fighting rages on",https://www.washingtonpost.com/world/2025/07/19/syria-sweida-druze-bedouin-tribes-israel/
2025-07-19-13-45-01 +0000,world,"Even at Starmer’s favorite pub, U.K. prime minister is a ‘beige’ mystery",https://www.washingtonpost.com/world/2025/07/19/even-starmers-favorite-pub-uk-prime-minister-is-beige-mystery/
2025-07-19-10-05-19 +0000,world,U.S. revokes visa of Brazilian judge overseeing Bolsonaro’s prosecution,https://www.washingtonpost.com/world/2025/07/18/brazil-bolsonaro-trump-moraes-tariffs/
