score,pubdate,source,title,link
205,2026-01-05-21-27-39 +0000,cbc,"Venezuela's collapse, Trump’s military buildup and Maduro's capture: How did we get here?",https://www.cbc.ca/news/world/trump-venezuela-explainer-9.7033725?cmp=rss
71,2026-01-06-02-24-00 +0000,wsj,"In the wake of the Trump administration cutting child-care funds to Minnesota, it has expanded its social-services funding freeze to include California, Colorado, Illinois and New York",https://www.wsj.com/politics/policy/trump-administration-to-freeze-social-service-funds-in-more-democratic-states-bcb35c1d
56,2026-01-05-20-18-05 +0000,nypost,Will Amy Klobuchar run for Minnesota governor? Buzz around senator’s future after Tim Walz’s shock decision to bow out of race,https://nypost.com/2026/01/05/us-news/all-eyes-on-amy-klobuchar-amid-buzz-of-gubernatorial-run-after-tim-walzs-shock-exit/
52,2026-01-05-20-12-00 +0000,wsj,Oil Rises As Market Digests Venezuelan President’s Ouster,https://www.wsj.com/finance/commodities-futures/venezuela-oil-revival-needs-orderly-transition-significant-investment-20459e26?mod=rss_markets_main
47,2026-01-05-15-25-42 +0000,nypost,Paris court finds 10 people guilty of cyberbullying France’s first lady Brigitte Macron,https://nypost.com/2026/01/05/world-news/paris-court-finds-10-people-guilty-of-cyberbullying-frances-first-lady-brigitte-macron/
42,2026-01-06-01-37-29 +0000,nypost,Newsom claims he was ‘physically’ in middle of fight against LA fires after claiming hair ‘literally burst’,https://nypost.com/2026/01/05/us-news/newsom-boasts-he-was-physically-in-middle-of-fight-against-la-fires-after-claiming-his-hair-ignited/
38,2026-01-05-23-50-43 +0000,nypost,"Iran’s Ayatollah Ali Khamenei plans to flee to Russia if security team fails, turns on him as regime gripped by unrest: report",https://nypost.com/2026/01/05/world-news/irans-ayatollah-ali-khamenei-plans-to-flee-to-russia-if-security-team-fails-turns-on-him-as-regime-gripped-by-unrest/
33,2026-01-05-23-38-20 +0000,nypost,Nvidia CEO Jensen Huang calls AI titan’s latest chips ‘gigantic step up in performance’,https://nypost.com/2026/01/05/business/nvidia-ceo-jensen-huang-calls-ai-titans-latest-chips-gigantic-step-up-in-performance/
32,2026-01-06-00-57-00 +0000,wsj,"The Pentagon is moving to demote Sen. Mark Kelly, a retired captain in the U.S. Navy, over his participation in a video calling on troops to resist illegal orders",https://www.wsj.com/politics/hegseth-moves-to-downgrade-sen-mark-kellys-military-rank-56055879
31,2026-01-06-00-59-36 +0000,nypost,Somali ambassador to UN is linked to shady Ohio health care company in Medicaid fraud scandal: HHS official,https://nypost.com/2026/01/05/us-news/somali-ambassador-to-un-is-linked-to-shady-ohio-health-care-company-hhs-official/
