score,pubdate,source,title,link
181,2026-04-06-11-03-00 +0000,wsj,President Trump told the WSJ that Iran has until Tuesday night to reopen the Strait of Hormuz or he will destroy the country’s bridges and power plants. Read more in today’s WSJ politics newsletter:,https://www.wsj.com/politics/trump-says-hes-calling-irans-bluff-in-eight-minute-interview-with-wsj-9d7b2a35
171,2026-04-07-06-55-31 +0000,bbc,Oil prices rise ahead of Trump's Iran deal deadline,https://www.bbc.com/news/articles/c20qv0w1j1do?at_medium=RSS&at_campaign=rss
170,2026-04-06-21-55-50 +0000,bbc,Trump threatens to take out Iran in 'one night' if no deal before deadline,https://www.bbc.com/news/articles/cqj8ep9w1pno?at_medium=RSS&at_campaign=rss
169,2026-04-06-21-03-16 +0000,wapo,Trump threatens new rampage as Iran deal deadline nears,https://www.washingtonpost.com/national-security/2026/04/06/trump-us-iran-war-rescue-airman/
160,2026-04-07-06-31-00 +0000,wsj,Oil Rises as Trump’s Iran Deal Deadline Looms,https://www.wsj.com/finance/commodities-futures/iran-war-will-keep-oil-prices-high-through-2q-westpac-says-52d108a9?mod=rss_markets_main
158,2026-04-06-19-06-00 +0000,wsj,Crude Futures Edge Up As Trump’s Iran Deadline Nears,https://www.wsj.com/finance/commodities-futures/oil-futures-rise-amid-increased-supply-disruption-concerns-63eb5bd7?mod=rss_markets_main
155,2026-04-07-06-47-00 +0000,wsj,Dollar Trades Steady Ahead of Trump’s Deadline for Iran Deal,https://www.wsj.com/finance/currencies/yen-consolidates-may-weaken-amid-ongoing-u-s-iran-conflict-a0089aa9
155,2026-04-07-03-05-02 +0000,nyt,"As Trump Deadline Looms, Iran and U.S. Mix Threats With Hints of Deal",https://www.nytimes.com/2026/04/06/world/middleeast/iran-trump-deadline.html
154,2026-04-06-19-39-27 +0000,latimes,"Trump holds fast to Tuesday deadline, threatening Iran's bridges and power plants",https://www.latimes.com/politics/story/2026-04-06/trump-holds-fast-to-tuesday-deadline-threatening-irans-bridges-power-plants
153,2026-04-06-23-34-11 +0000,bbc,Trump's Hormuz deadline looms but Asian nations have already struck deals with Iran,https://www.bbc.com/news/articles/c79jqx1xdy9o?at_medium=RSS&at_campaign=rss
