score,pubdate,source,title,link
136,2026-07-21-06-40-50 +0000,nyt,"Andy Burnham, New UK Prime Minister, Names John Healey as Top Finance Official",https://www.nytimes.com/2026/07/20/business/andy-burnham-john-healey.html
112,2026-07-20-21-20-18 +0000,nypost,Trump hits Canada with surprise 50% tariffs — and he didn’t warn Carney during their World Cup talk,https://nypost.com/2026/07/20/us-news/trump-hits-canada-with-surprise-50-tariffs-and-he-didnt-warn-carney-during-their-world-cup-talk/
76,2026-07-21-02-26-00 +0000,wsj,"Republican Sen. Darline Graham, the sister of the late Lindsey Graham, said she planned to run for a full Senate term to replace her brother in South Carolina",https://www.wsj.com/politics/elections/darline-graham-says-she-will-run-for-her-brothers-senate-seat-4b94707a
67,2026-07-20-20-14-57 +0000,bbc,Trump warns Iran will pay 'many times over' for deaths of US soldiers,https://www.bbc.co.uk/news/articles/cly52xzjd3qo?at_medium=RSS&at_campaign=rss
46,2026-07-20-17-17-51 +0000,nypost,Judge pauses Paramount’s $110B acquisition of Warner Bros. Discovery after California lawsuit,https://nypost.com/2026/07/20/business/judge-pauses-paramounts-110b-acquisition-of-warner-bros-discovery-after-california-lawsuit/
39,2026-07-20-17-16-29 +0000,chitri,Ex-Mexican drug lord Ismael ‘El Mayo’ Zambada denounces violence as he’s sentenced to life in prison,https://www.chicagotribune.com/2026/07/20/mexican-drug-lord-ismael-el-mayo/
38,2026-07-20-18-44-00 +0000,wsj,"Qatari-Gifted Air Force One to Receive Upgrades This Fall, White House Says",https://www.wsj.com/politics/policy/trump-air-force-one-qatar-gift-upgrades-57ab2299?mod=pls_whats_news_us_business_f
38,2026-07-21-08-29-27 +0000,nypost,Michigan man accused of trying to kidnap two girls allegedly flipped off their families in court: reports,https://nypost.com/2026/07/21/us-news/michigan-man-endi-bala-accused-of-trying-to-2-kidnap-two-girls-allegedly-flipped-off-their-families-in-court-reports/
38,2026-07-20-22-36-41 +0000,nyt,5 Found Dead in Ohio After Child Tells Driver His ‘Family Was in the River’,https://www.nytimes.com/2026/07/20/us/scioto-river-drowning-ohio.html
36,2026-07-21-12-17-55 +0000,nypost,Israel believes Iran moved nuclear material inside notorious ‘Pickaxe Mountain’ site last year: report,https://nypost.com/2026/07/21/world-news/israel-believes-iran-moved-nuclear-material-inside-notorious-pickaxe-mountain-site-last-year-report/
