score,pubdate,source,title,link
188,2026-03-11-11-36-18 +0000,nypost,Record 400M oil barrels to be released from emergency stockpiles to curb soaring prices due to Iran war,https://nypost.com/2026/03/11/world-news/iea-to-recommend-release-of-400m-oil-barrels-its-largest-ever-release-to-curb-soaring-prices-due-to-iran-war-report/
73,2026-03-11-18-34-00 +0000,wsj,The Trump administration is preparing to announce new tariff investigations that could result in higher levies on a litany of nations over what the U.S. deems as unfair trade practices,https://www.wsj.com/politics/policy/trump-tariff-probe-trade-act-8e3ff874
72,2026-03-11-13-19-52 +0000,nypost,Iranian women’s soccer team member flip-flops on asylum — reveals secret site where her teammates hid,https://nypost.com/2026/03/11/world-news/iranian-womens-soccer-team-member-granted-asylum-changes-mind-and-heads-back-home/
60,2026-03-11-14-54-00 +0000,wsj,The economic shock waves of the Iran war are leaving no part of the world untouched. Here’s which countries could be hit hardest and who stands to benefit.,https://www.wsj.com/business/energy-oil/the-economic-winners-and-losers-of-the-iran-war-0873ac27
48,2026-03-11-12-46-05 +0000,nypost,Three vessels struck in Strait of Hormuz as Iran vows to launch its ‘most intense’ assault so far,https://nypost.com/2026/03/11/world-news/three-vessels-struck-by-projectiles-in-strait-of-hormuz/
47,2026-03-11-02-07-39 +0000,nypost,House Oversight Committee wants to interview Epstein prison guard who googled him minutes before body was found,https://nypost.com/2026/03/10/us-news/house-oversight-committee-wants-to-interview-epstein-prison-guard-who-googled-him-minutes-before-body-was-found/
45,2026-03-11-14-13-52 +0000,bbc,EU and UK demand Israel stop surge in West Bank settler violence since Iran war,https://www.bbc.com/news/articles/c620vwl97vyo?at_medium=RSS&at_campaign=rss
43,2026-03-11-18-53-00 +0000,wsj,Sen. John Cornyn of Texas reversed himself and said he would support changes to the longstanding Senate filibuster rule that requires 60 votes to advance most legislation,https://www.wsj.com/politics/policy/john-cornyn-filibuster-texas-senator-3b918639
42,2026-03-11-15-51-03 +0000,latimes,Dangerous heat will scorch Los Angeles this week; here's how long it will last,https://www.latimes.com/california/story/2026-03-11/dangerous-heat-wave-to-scorch-los-angeles-this-week
39,2026-03-11-12-27-27 +0000,bbc,"Zelensky sends drone teams to Middle East, touting Ukraine's expertise",https://www.bbc.com/news/articles/cgl5jeg5r15o?at_medium=RSS&at_campaign=rss
