score,pubdate,source,title,link
310,2026-03-02-20-10-03 +0000,nyt,Iran’s Top Security Official Calls Trump’s War Aims ‘Delusional’ and Says Iran ‘Will Not Negotiate’,https://www.nytimes.com/2026/03/02/world/middleeast/iran-trump-war-goals.html
102,2026-03-03-18-05-48 +0000,wapo,"Live updates: Amid Iran strikes, three U.S. embassies close in the Middle East; Israel attacks Lebanon",https://www.washingtonpost.com/world/2026/03/03/us-iran-israel-military-strikes-trump-live-updates/
79,2026-03-03-17-48-08 +0000,bbc,Gas and oil prices soar and shares tumble on fears conflict could escalate,https://www.bbc.com/news/articles/cr5lz0vgy52o?at_medium=RSS&at_campaign=rss
65,2026-03-03-14-00-00 +0000,latimes,"Struggling Democrats need to drop out of California's crowded governor race or risk a GOP win, party leader warns",https://www.latimes.com/california/story/2026-03-03/california-democratic-leader-urges-weak-gubernatorial-hopefuls-to-bow-out
62,2026-03-03-12-02-00 +0000,wsj,"The polls in Texas have been all over the map for today’s primary, but here are things to watch for. Read more in today’s WSJ Politics Newsletter:",https://www.wsj.com/politics/things-to-watch-for-during-the-big-texas-primary-d7d7bbfd
52,2026-03-02-20-02-51 +0000,nypost,"US military blasts Iranian warship in new video, says regime has ‘ZERO’ left in Gulf of Oman",https://nypost.com/2026/03/02/world-news/us-military-blasts-iranian-warship-in-new-video-says-regime-has-zero-left-in-gulf-of-oman/
45,2026-03-03-00-45-00 +0000,wsj,Here are some key moments from the depositions given by Hillary and Bill Clinton to a House committee looking into convicted sex offender Jeffrey Epstein,https://www.wsj.com/politics/bill-hillary-clinton-epstein-depositions-video-e70d9a7f
43,2026-03-03-17-23-38 +0000,nypost,Disgraced mayor’s friend told her own son to ‘lie til you die’ about seeing pol ‘rape’ 16-year-old boy,https://nypost.com/2026/03/03/us-news/best-friend-testified-disgraced-mayor-misty-roberts-was-most-drunk-shed-ever-seen-her/
42,2026-03-03-00-15-58 +0000,nypost,Supreme Court blocks California law that stopped schools from telling parents if their kid is transgender,https://nypost.com/2026/03/02/us-news/supreme-court-blocks-california-from-enforcing-rules-to-restrict-schools-from-telling-parents-when-their-kid-comes-out-as-transgender/
41,2026-03-03-16-44-19 +0000,wapo,"Colin Gray, father of accused Georgia school shooter, found guilty of murder",https://www.washingtonpost.com/nation/2026/03/03/colin-gray-father-trial-verdict-school-shooting/
