score,pubdate,source,title,link
226,2026-03-11-02-00-00 +0000,wsj,"Iran is exporting more oil through the Strait of Hormuz than before the war, showing it is in control of a strategic waterway that it has closed off to the rest of the region’s oil producers",https://www.wsj.com/world/middle-east/irans-control-of-hormuz-means-its-exporting-more-oil-today-than-before-the-war-ede3cd91
69,2026-03-11-11-06-58 +0000,nyt,"A Trump-Xi Summit Nears, but China Doesn’t Know What Trump Wants",https://www.nytimes.com/2026/03/11/world/asia/china-us-trump-ceos.html
53,2026-03-11-12-33-43 +0000,wapo,February inflation was unchanged but predates surge in energy prices,https://www.washingtonpost.com/business/2026/03/11/oil-prices-inflation-cpi/
48,2026-03-11-06-33-00 +0000,wsj,Lego Sales Outpace Global Toy Market to Hit New Record,https://www.wsj.com/business/earnings/lego-sales-outpace-global-toy-market-to-hit-new-record-ce4e29ca?mod=pls_whats_news_us_business_f
47,2026-03-10-16-15-20 +0000,nypost,Iranian women’s soccer player refuses to board plane home at last minute — as 7 claim asylum in Australia,https://nypost.com/2026/03/10/world-news/iranian-womens-soccer-player-refuses-to-board-plane-home-at-last-minute-as-7-claim-asylum-in-australia/
45,2026-03-10-22-24-14 +0000,nypost,GOP gubernatorial hopeful Steve Hilton issues impassioned plea to California’s gas execs: ‘Do not give up’,https://nypost.com/2026/03/10/us-news/steve-hilton-issues-impassioned-plea-to-californias-gas-execs-do-not-give-up/
42,2026-03-11-05-13-52 +0000,nypost,Fremont is America’s happiest city again — but living there will cost you,https://nypost.com/2026/03/11/us-news/fremont-is-americas-happiest-city-again-but-living-there-will-cost-you/
38,2026-03-11-12-27-27 +0000,bbc,"Zelensky sends drone teams to Middle East, touting Ukraine's expertise",https://www.bbc.com/news/articles/cgl5jeg5r15o?at_medium=RSS&at_campaign=rss
37,2026-03-11-00-44-20 +0000,cbc,Woman charged with attempted murder after weekend shooting at Rihanna's L.A. home,https://www.cbc.ca/news/entertainment/rihanna-shooting-woman-charged-attempted-murder-9.7123331?cmp=rss
36,2026-03-11-00-28-30 +0000,nypost,Georgia special election to fill House seat vacated by Marjorie Taylor Greene heads to runoff,https://nypost.com/2026/03/10/us-news/georgia-special-election-to-fill-house-seat-vacated-by-marjorie-taylor-greene-heads-to-to-runoff/
