score,pubdate,source,title,link
53,2026-08-01-21-58-00 +0000,wsj,Trump Team Feuds Over Whether Reflecting Pool Was Hit by Vandals or Botched Work,https://www.wsj.com/us-news/trump-team-feuds-over-whether-reflecting-pool-was-hit-by-vandals-or-botched-work-4c02ed6b
40,2026-08-01-16-50-51 +0000,cbc,"Nirmal Purja, 'inspirational' Nepali climber, among 10 killed in avalanche during Pakistan expedition",https://www.cbc.ca/news/world/nepal-climber-nirmal-purja-killed-avalanche-9.7293792?cmp=rss
39,2026-08-01-16-08-45 +0000,cbc,Hunger and hostility cited by migrants as reason for return to Morocco from Spain's Ceuta,https://www.cbc.ca/news/world/ceuta-morocco-migrants-hunger-hostility-9.7293767?cmp=rss
33,2026-08-01-16-00-00 +0000,wsj,A Tech Founder Wanted to Start a New Country. An Actual Country Got in the Way.,https://www.wsj.com/tech/a-tech-founder-wanted-to-start-a-new-country-an-actual-country-got-in-the-way-52cd21e5
30,2026-08-02-03-05-16 +0000,bbc,Trump says he is cancelling strikes on Iran subject to 'rapidly' making deal,https://www.bbc.co.uk/news/articles/cjwx74qgld2o?at_medium=RSS&at_campaign=rss
29,2026-08-02-03-04-00 +0000,wsj,"Three Dead, at Least Five Injured in Idaho Shooting at In-N-Out Restaurant",https://www.wsj.com/us-news/three-dead-at-least-five-injured-in-idaho-shooting-at-in-n-out-restaurant-63390e21
26,2026-08-01-10-00-00 +0000,latimes,"The percentage of homes surviving California wildfires is dropping, despite efforts to harden them",https://www.latimes.com/environment/story/2026-08-01/percentage-homes-surviving-wildfires-dropping
25,2026-08-02-01-00-00 +0000,wsj,"High-profile donors have given little or no money to the Democratic National Committee this year, and a running joke among some is that the DNC stands for “Do Not Contribute”",https://www.wsj.com/politics/elections/democrat-fundraising-midterm-elections-57f3d73c
24,2026-08-01-12-41-17 +0000,bbc,Faisal Islam: Four reasons why Fifa's World Cup plan never stacked up,https://www.bbc.co.uk/news/articles/clyvd8363wlo?at_medium=RSS&at_campaign=rss
23,2026-08-01-05-53-27 +0000,nypost,Oprah Winfrey says she will close her school for girls in South Africa,https://nypost.com/2026/08/01/world-news/oprah-winfrey-says-she-will-close-her-school-for-girls-in-south-africa-next-year/
