score,pubdate,source,title,link
173,2026-04-28-10-53-00 +0000,wsj,"Late-night host Jimmy Kimmel dismissed President Trump’s calls for Disney’s ABC to remove him over a joke he made last week about Melania Trump, calling his prior remarks a “very light roast”",https://www.wsj.com/business/media/jimmy-kimmel-melania-trump-widow-comments-40f9478a
93,2026-04-28-14-03-16 +0000,nypost,United Arab Emirates to leave OPEC on May 1 in shocking blow to world’s largest oil cartel amid Iran war,https://nypost.com/2026/04/28/business/united-arab-emirates-leaving-opec-may-1-in-shocking-blow-to-worlds-largest-oil-cartel/
74,2026-04-28-05-33-17 +0000,bbc,In pictures: King Charles and Queen Camilla at garden party and White House on US state visit,https://www.bbc.com/news/articles/c86e6z26xdpo?at_medium=RSS&at_campaign=rss
56,2026-04-28-01-05-00 +0000,wsj,"The Defense Department can temporarily require journalists to be escorted inside the Pentagon, a federal appeals court ruled Monday, a win for the department in its efforts to limit media access",https://www.wsj.com/politics/national-security/appeals-court-says-pentagon-can-temporarily-mandate-escorts-for-journalists-84042f19
54,2026-04-27-20-08-59 +0000,latimes,OpenAI CEO Sam Altman apologizes for not alerting police about Canada shooting suspect,https://www.latimes.com/business/story/2026-04-27/openai-ceo-sam-altman-sorry-he-didnt-report-canada-shooting-suspect
43,2026-04-28-14-39-55 +0000,nypost,ISIS jihadist pleads guilty to plotting attack on a Taylor Swift concert in Vienna,https://nypost.com/2026/04/28/world-news/isis-jihadist-pleads-guilty-to-plotting-attack-on-a-taylor-swift-concert-in-vienna/
40,2026-04-27-20-12-55 +0000,nyt,Iran Offers Plan to Focus on Strait of Hormuz and Delay Nuclear Talks,https://www.nytimes.com/2026/04/27/world/middleeast/iran-trump-talks-strait-of-hormuz-nuclear.html
38,2026-04-28-10-00-00 +0000,latimes,Supreme Court will hear Trump's bid to end legal protection for up to 1.3 million immigrants,https://www.latimes.com/politics/story/2026-04-28/supreme-court-will-hear-trumps-bid-to-end-legal-protection-for-up-to-1-3-million-immigrants
36,2026-04-28-14-21-00 +0000,wsj,China’s Ban on Meta-Manus Deal Shows Strains in U.S.-China Business Ties,https://www.wsj.com/world/china/chinas-ban-on-meta-manus-deal-shows-strains-in-u-s-china-business-ties-3f58f0d7
36,2026-04-27-18-07-33 +0000,nypost,California’s billionaire tax gamble — insiders warn of fallout no one is talking about,https://nypost.com/2026/04/27/business/billionaire-tax-could-kill-100000-california-jobs-and-sink-revenue-study/
