score,pubdate,source,title,link
75,2026-07-31-19-10-16 +0000,nyt,Trump’s Gaza Deal Sparks Questions on Whether Israel and Hamas Will Comply,https://www.nytimes.com/2026/07/31/world/middleeast/trump-gaza-hamas-deal-disarm.html
61,2026-07-31-21-33-06 +0000,nypost,Jeanine Pirro drops Reflecting Pool vandalism case against Olympian David Hearn — blames Interior Dept for holding back ‘flawed installation’ info,https://nypost.com/2026/07/31/us-news/jeanine-pirro-seeks-to-drop-charges-against-olympian-david-hearn-admits-reflecting-pool-damage-was-flawed-installation/
57,2026-08-01-12-04-46 +0000,bbc,Watch: Tens of thousands of migrants enter Spain's Ceuta from Morocco,https://www.bbc.co.uk/news/videos/cnvnml1pen6o?at_medium=RSS&at_campaign=rss
56,2026-07-31-21-40-18 +0000,nypost,"FIFA has scrapped $20B World Cup sell-off plan following European boycott, global outrage: sources",https://nypost.com/2026/07/31/business/fifa-has-scrapped-20b-world-cup-sell-off-plan-following-european-boycott-global-outrage-sources/
54,2026-07-31-22-09-00 +0000,wsj,"Former congressman George Santos will pay more than $35,000 to settle a regulator’s claim that he manipulated wagers on prediction market Kalshi over whether he would attend the State of the Union",https://www.wsj.com/politics/george-santos-settles-regulators-claim-over-manipulative-activity-on-kalshi-cc16c586
45,2026-07-31-21-23-25 +0000,nypost,Fed-up Spaniards lash out at socialist prime minister after migrant invasion: ‘A third-world country’,https://nypost.com/2026/07/31/world-news/fed-up-spaniards-lash-out-at-socialist-prime-minister-after-migrant-invasion/
40,2026-07-31-17-20-50 +0000,nypost,California Gov. Gavin Newsom releases long-awaited tax returns,https://nypost.com/2026/07/31/us-news/gavin-newsom-releases-tax-returns-as-millions-in-earnings-revealed/
40,2026-08-01-14-34-53 +0000,nyt,"Nirmal Purja, Renowned Mountaineer, Is Found Dead After Pakistan Avalanche",https://www.nytimes.com/2026/08/01/world/asia/nirmal-purja-dead-pakistan-avalanche.html
39,2026-07-31-16-21-46 +0000,nypost,Trump orders more strikes on Iran after ‘losing faith’ in Iran peace talks,https://nypost.com/2026/07/31/us-news/trump-previews-next-damaging-military-offensive-against-iran-from-camp-david-cabinet-summit/
35,2026-07-31-16-30-24 +0000,nypost,LA gas stations where you can still get cheap gas revealed — as prices have skyrocketed since last year,https://nypost.com/2026/07/31/business/where-to-find-cheap-gas-in-los-angeles-as-prices-spike-in-california/
