score,pubdate,source,title,link
79,2026-02-17-13-26-00 +0000,nypost,"Iran’s supreme leader taunts Trump, US as high-stakes nuclear talks begin: ‘Slapped so hard’",https://nypost.com/2026/02/17/us-news/irans-supreme-leader-taunts-trump-us-as-high-stakes-nuclear-talks-begin/
75,2026-02-17-09-48-00 +0000,wsj,"Jesse Jackson, the civil-rights activist and political leader, has died at 84. He was the first Black man to wage a nationwide presidential campaign.",https://www.wsj.com/politics/jesse-jackson-civil-rights-leader-and-democratic-presidential-candidate-dies-59eb285b
57,2026-02-17-12-51-03 +0000,nypost,Warner Bros. Discovery will restart talks with Paramount — potentially setting up a bidding war with Netflix,https://nypost.com/2026/02/17/business/warner-bros-discovery-will-restart-talks-with-paramount-potentially-setting-up-a-bidding-war-with-netflix/
44,2026-02-17-14-00-30 +0000,nypost,Pulse-pounding video shows heroes wrestle trans dad who opened fire at Rhode Island high school hockey game,https://nypost.com/2026/02/17/us-news/video-shows-heroes-confront-trans-dad-who-opened-fire-at-rhode-island-high-school-hockey-game/
36,2026-02-17-13-40-59 +0000,nyt,"Ukraine and Russia Hold New Round of Peace Talks, but Expectations Are Low",https://www.nytimes.com/2026/02/17/world/europe/ukraine-russia-peace-talks-switzerland.html
35,2026-02-16-17-54-58 +0000,nypost,French police raid Arab World Institute over former chief Jack Lang’s connections to Jeffrey Epstein,https://nypost.com/2026/02/16/world-news/french-police-raid-arab-world-institute-over-former-chief-jack-langs-connections-to-jeffrey-epstein/
33,2026-02-17-12-03-34 +0000,nypost,RI hockey shooter Robert Dorgan threatened to go ‘BERSERK’ in trans-rights rant day before mass shooting,https://nypost.com/2026/02/17/us-news/ri-hockey-shooter-robert-dorgan-threatened-to-go-berserk-in-trans-rights-rant-day-before-mass-shooting/
32,2026-02-17-12-23-37 +0000,nypost,Top-performing fund warns software firms face ‘existential threat from AI’: report,https://nypost.com/2026/02/17/business/top-performing-fund-warns-software-firms-face-existential-threat-from-ai-report/
31,2026-02-17-12-41-09 +0000,bbc,"Nancy Guthrie's family cleared as possible suspects, with search in its third week",https://www.bbc.com/news/articles/cjd93rl849xo?at_medium=RSS&at_campaign=rss
29,2026-02-17-14-58-00 +0000,wsj,Eric Trump is investing in Israeli drone maker Xtend as part of a $1.5 billion deal to take the company public,https://www.wsj.com/politics/national-security/eric-trump-invest-xtend-drone-company-5d8e61f4
