source,1h,24h,7d
nypost,4,53,80
nyt,2,79,274
wsj,1,26,252
bbc,0,39,238
wapo,0,19,42
latimes,0,12,156
startribune,0,10,10
cbc,0,7,38
missionlocal,0,4,27
48hills,0,0,10
eltecolote,0,0,1
toi,0,0,0
