source,1h,24h,7d
nyt,12,168,324
wsj,8,98,253
bbc,8,94,213
startribune,7,10,10
nypost,5,68,79
wapo,2,15,31
missionlocal,1,5,31
48hills,1,5,10
latimes,0,34,162
cbc,0,31,39
eltecolote,0,0,4
toi,0,0,0
