source,1h,24h,7d
nyt,6,82,277
nypost,4,48,80
wsj,2,42,259
wapo,1,9,21
bbc,0,43,221
latimes,0,14,160
startribune,0,8,8
cbc,0,4,20
missionlocal,0,3,31
eltecolote,0,1,2
48hills,0,0,10
toi,0,0,0
