source,1h,24h,7d
wsj,8,57,200
wapo,6,76,89
nyt,5,136,250
nypost,3,67,79
latimes,3,32,154
startribune,2,10,10
48hills,1,5,10
bbc,0,110,237
cbc,0,16,37
missionlocal,0,3,31
eltecolote,0,0,1
toi,0,0,0
