source,1h,24h,7d
wsj,1,109,267
nypost,1,75,80
chitri,1,30,164
nyt,0,134,288
bbc,0,114,221
latimes,0,29,150
cbc,0,18,39
wapo,0,12,22
startribune,0,10,10
missionlocal,0,6,31
48hills,0,3,10
eltecolote,0,0,0
toi,0,0,0
