source,1h,24h,7d
nyt,0,110,286
nypost,0,52,79
bbc,0,34,229
wsj,0,32,256
latimes,0,12,152
startribune,0,9,10
wapo,0,8,19
cbc,0,3,40
missionlocal,0,2,31
48hills,0,1,10
eltecolote,0,0,1
toi,0,0,0
