source,1h,24h,7d
nyt,9,73,245
wsj,3,47,227
bbc,3,34,168
nypost,2,52,80
startribune,1,10,10
latimes,0,15,119
wapo,0,10,20
cbc,0,3,38
missionlocal,0,3,31
48hills,0,0,10
eltecolote,0,0,0
toi,0,0,0
