source,1h,24h,7d
bbc,3,105,224
nyt,1,185,324
nypost,1,75,80
wsj,0,117,257
latimes,0,32,160
cbc,0,19,39
wapo,0,15,29
startribune,0,10,10
missionlocal,0,6,31
48hills,0,3,10
eltecolote,0,0,0
toi,0,0,0
