source,1h,24h,7d
nyt,0,60,245
nypost,0,46,80
wsj,0,37,262
bbc,0,29,234
cbc,0,10,40
startribune,0,10,10
chitri,0,9,131
latimes,0,8,147
wapo,0,7,23
missionlocal,0,2,31
48hills,0,0,10
eltecolote,0,0,0
toi,0,0,0
