source,1h,24h,7d
nyt,0,133,251
wsj,0,99,266
bbc,0,98,223
nypost,0,62,79
chitri,0,30,137
latimes,0,22,156
wapo,0,20,52
cbc,0,17,38
startribune,0,10,10
missionlocal,0,7,31
48hills,0,4,10
eltecolote,0,0,0
toi,0,0,0
