source,1h,24h,7d
nyt,9,79,278
wsj,7,50,259
bbc,5,55,220
latimes,3,18,161
nypost,2,46,80
startribune,2,8,8
48hills,1,1,10
wapo,0,9,21
cbc,0,6,40
missionlocal,0,3,31
eltecolote,0,1,2
toi,0,0,0
