source,1h,24h,7d
nyt,22,177,299
wsj,8,101,253
bbc,4,84,226
nypost,4,75,80
missionlocal,1,11,31
wapo,1,8,17
latimes,0,33,156
cbc,0,11,20
startribune,0,10,10
48hills,0,2,10
eltecolote,0,1,2
toi,0,0,0
