source,1h,24h,7d
nyt,9,166,294
bbc,6,71,242
wsj,3,60,229
nypost,2,61,78
48hills,2,2,10
cbc,1,10,38
latimes,0,26,162
wapo,0,18,53
startribune,0,8,9
missionlocal,0,5,31
eltecolote,0,0,1
toi,0,0,0
