source,1h,24h,7d
wsj,13,61,208
nyt,8,133,276
nypost,7,63,79
bbc,3,74,221
wapo,1,26,42
cbc,1,23,40
latimes,0,20,156
startribune,0,9,10
missionlocal,0,7,29
48hills,0,4,10
eltecolote,0,0,5
toi,0,0,0
