source,1h,24h,7d
nypost,1,77,80
nyt,0,154,290
wsj,0,92,249
bbc,0,70,222
latimes,0,19,124
startribune,0,9,10
cbc,0,8,38
wapo,0,8,19
missionlocal,0,7,31
48hills,0,3,10
eltecolote,0,0,0
toi,0,0,0
