source,1h,24h,7d
nyt,18,166,285
nypost,14,70,80
wsj,7,116,265
startribune,3,10,10
bbc,1,112,219
latimes,1,32,158
48hills,1,4,10
cbc,0,19,39
missionlocal,0,10,31
wapo,0,6,15
eltecolote,0,2,6
toi,0,0,0
