source,1h,24h,7d
nyt,35,223,309
wsj,9,135,266
bbc,3,80,216
nypost,3,75,80
wapo,1,48,110
cbc,1,21,40
missionlocal,1,8,31
startribune,1,8,8
latimes,0,32,158
48hills,0,3,10
eltecolote,0,0,1
toi,0,0,0
