source,1h,24h,7d
nyt,9,130,290
wapo,2,105,114
nypost,2,60,80
wsj,2,43,257
startribune,1,10,10
missionlocal,1,5,31
bbc,0,32,226
latimes,0,13,178
cbc,0,7,38
48hills,0,0,10
eltecolote,0,0,2
toi,0,0,0
