source,1h,24h,7d
nypost,9,46,80
wsj,7,27,246
nyt,3,54,265
bbc,1,28,216
latimes,0,12,147
wapo,0,9,31
cbc,0,8,37
missionlocal,0,4,29
48hills,0,0,10
eltecolote,0,0,3
toi,0,0,0
