source,1h,24h,7d
nyt,0,85,274
nypost,0,48,80
bbc,0,37,227
wsj,0,17,269
latimes,0,17,152
wapo,0,17,58
chitri,0,13,146
cbc,0,5,39
startribune,0,5,10
missionlocal,0,2,31
48hills,0,0,10
eltecolote,0,0,3
toi,0,0,0
