source,1h,24h,7d
nyt,8,108,259
nypost,6,66,80
wsj,5,108,265
latimes,2,24,145
bbc,1,89,213
cbc,0,19,40
startribune,0,10,10
wapo,0,7,14
missionlocal,0,6,31
48hills,0,1,10
eltecolote,0,1,2
toi,0,0,0
