source,1h,24h,7d
nyt,19,149,265
nypost,13,65,79
wsj,11,107,223
bbc,5,90,201
startribune,4,10,10
wapo,3,24,55
cbc,1,18,32
missionlocal,1,4,24
latimes,0,30,119
48hills,0,3,10
eltecolote,0,0,1
toi,0,0,0
