source,1h,24h,7d
wsj,7,54,193
nyt,5,135,266
nypost,5,68,80
bbc,2,83,208
latimes,0,24,157
wapo,0,21,37
cbc,0,20,35
startribune,0,10,10
toi,0,0,0
