source,1h,24h,7d
wsj,12,122,250
nyt,10,174,291
nypost,4,69,80
bbc,3,81,211
latimes,1,27,161
wapo,1,19,40
missionlocal,1,8,31
cbc,0,16,39
startribune,0,8,8
48hills,0,3,10
toi,0,0,0
