source,1h,24h,7d
wsj,7,104,257
bbc,5,85,236
nypost,5,70,80
nyt,2,136,266
startribune,2,10,10
cbc,1,24,40
latimes,0,31,159
wapo,0,13,23
missionlocal,0,7,31
48hills,0,6,10
eltecolote,0,0,5
toi,0,0,0
