source,1h,24h,7d
bbc,3,68,226
wapo,3,21,45
nyt,2,135,283
cbc,2,21,40
nypost,1,63,79
startribune,1,10,10
missionlocal,1,5,29
wsj,0,59,216
latimes,0,32,158
48hills,0,2,10
eltecolote,0,1,6
toi,0,0,0
