source,1h,24h,7d
nyt,13,153,257
nypost,7,69,79
cbc,3,16,38
bbc,2,91,240
wsj,2,60,192
wapo,2,19,45
latimes,1,36,160
missionlocal,1,4,28
startribune,0,10,10
48hills,0,1,10
toi,0,0,0
