source,1h,24h,7d
nyt,8,172,299
wsj,7,105,259
nypost,5,67,80
bbc,4,97,238
startribune,3,8,8
cbc,1,23,39
missionlocal,1,6,30
latimes,0,33,142
wapo,0,7,10
48hills,0,4,10
eltecolote,0,0,1
toi,0,0,0
