source,1h,24h,7d
nyt,12,107,246
bbc,7,97,238
wsj,1,94,247
nypost,1,69,79
wapo,1,15,25
latimes,0,24,108
cbc,0,12,36
startribune,0,8,8
missionlocal,0,6,26
48hills,0,2,10
eltecolote,0,0,1
toi,0,0,0
