source,1h,24h,7d
nyt,14,152,280
bbc,11,89,216
wsj,6,55,198
nypost,3,73,80
wapo,3,24,42
startribune,1,10,10
latimes,0,39,158
cbc,0,16,37
toi,0,0,0
