source,1h,24h,7d
nyt,2,187,327
wsj,0,108,256
bbc,0,84,235
nypost,0,75,80
latimes,0,35,151
cbc,0,21,39
wapo,0,12,26
startribune,0,10,10
missionlocal,0,6,31
48hills,0,4,10
eltecolote,0,0,0
toi,0,0,0
