source,1h,24h,7d
nyt,5,135,259
wsj,2,110,256
bbc,2,87,229
latimes,2,34,133
nypost,1,63,80
cbc,0,30,34
wapo,0,23,37
startribune,0,8,8
missionlocal,0,4,31
48hills,0,3,10
eltecolote,0,0,0
toi,0,0,0
