source,1h,24h,7d
nyt,0,63,250
wsj,0,48,257
bbc,0,46,186
nypost,0,44,80
wapo,0,15,28
latimes,0,14,158
startribune,0,9,10
missionlocal,0,6,31
cbc,0,5,36
48hills,0,3,10
eltecolote,0,0,2
toi,0,0,0
