source,1h,24h,7d
nyt,18,100,290
nypost,10,53,79
bbc,6,55,232
wsj,4,36,243
cbc,1,7,39
startribune,0,10,10
latimes,0,8,137
wapo,0,5,18
missionlocal,0,4,31
48hills,0,1,10
eltecolote,0,0,1
toi,0,0,0
