source,1h,24h,7d
nyt,13,131,278
nypost,7,68,80
wsj,4,87,262
latimes,1,25,149
wapo,1,9,22
bbc,0,68,222
cbc,0,14,39
startribune,0,10,10
missionlocal,0,6,31
48hills,0,1,10
eltecolote,0,1,3
toi,0,0,0
