source,1h,24h,7d
nyt,11,144,302
bbc,6,73,207
nypost,2,78,80
wsj,1,97,265
missionlocal,1,10,31
latimes,0,47,187
cbc,0,18,38
wapo,0,12,20
startribune,0,8,8
48hills,0,3,10
eltecolote,0,0,2
toi,0,0,0
