source,1h,24h,7d
nyt,0,113,263
bbc,0,83,218
nypost,0,64,79
wsj,0,50,197
latimes,0,30,155
cbc,0,17,36
wapo,0,16,32
startribune,0,10,10
48hills,0,5,10
missionlocal,0,4,31
eltecolote,0,0,0
toi,0,0,0
