source,1h,24h,7d
nyt,9,95,268
nypost,3,56,80
wsj,2,25,245
missionlocal,1,4,31
bbc,0,52,232
latimes,0,17,156
wapo,0,10,33
startribune,0,10,10
cbc,0,5,39
eltecolote,0,1,5
48hills,0,0,10
toi,0,0,0
