source,1h,24h,7d
nypost,6,64,80
nyt,5,117,294
wsj,2,80,253
bbc,2,56,235
cbc,1,16,36
latimes,0,24,167
wapo,0,15,30
startribune,0,10,10
missionlocal,0,5,27
48hills,0,1,10
eltecolote,0,0,0
toi,0,0,0
