source,1h,24h,7d
nyt,13,94,238
nypost,7,52,80
bbc,6,80,210
wsj,6,52,209
wapo,3,18,30
latimes,0,18,158
startribune,0,10,10
cbc,0,9,39
48hills,0,5,10
missionlocal,0,3,31
eltecolote,0,0,2
toi,0,0,0
