source,1h,24h,7d
nyt,0,66,276
nypost,0,46,80
wsj,0,41,266
bbc,0,32,248
latimes,0,8,148
startribune,0,8,8
cbc,0,7,39
wapo,0,5,12
missionlocal,0,4,31
48hills,0,0,10
eltecolote,0,0,6
toi,0,0,0
