source,1h,24h,7d
nyt,4,65,249
nypost,1,49,80
wsj,1,35,181
bbc,1,29,218
wapo,0,12,22
latimes,0,11,150
startribune,0,7,10
cbc,0,6,37
missionlocal,0,3,29
48hills,0,0,10
eltecolote,0,0,2
toi,0,0,0
